State,stateFIPS,County,countyFIPS,Total Unauthorized Population
Michigan,26,Wayne County,26163,33000
Ohio,39,Franklin County,39049,33000
California,6,Sonoma County,6097,31000
Tennessee,47,Davidson County,47037,31000
Indiana,18,Marion County,18097,30000
Texas,48,Webb County,48479,30000
Texas,48,Denton County,48121,30000
Arizona,4,Pima County,4019,29000
Wisconsin,55,Milwaukee County,55079,28000
California,6,Merced County,6047,27000
Florida,12,Lee County,12071,27000
Louisiana,22,Orleans Parish,22071,27000
Louisiana,22,Jefferson Parish,22051,27000
Louisiana,22,Plaquemines Parish,22075,27000
Louisiana,22,St. Bernard Parish,22087,27000
Hawaii,15,Honolulu County,15003,26000
Michigan,26,Oakland County,26125,26000
Oregon,41,Washington County,41067,26000
Oregon,41,Multnomah County,41051,26000
Tennessee,47,Shelby County,47157,26000
Florida,12,Collier County,12021,25000
New Jersey,34,Mercer County,34021,25000
Texas,48,Montgomery County,48339,25000
Washington,53,Snohomish County,53061,25000
New Jersey,34,Monmouth County,34025,24000
Rhode Island,44,Providence County,44007,23000
Connecticut,9,New Haven County,9009,22000
Maryland,24,Baltimore County,24005,22000
New Jersey,34,Morris County,34027,22000
New Mexico,35,Bernalillo County,35001,22000
New Mexico,35,Valencia County,35061,22000
Washington,53,Yakima County,53077,22000
California,6,Solano County,6095,21000
Oklahoma,40,Tulsa County,40143,21000
Connecticut,9,Hartford County,9003,20000
Georgia,13,Hall County,13139,20000
California,6,Santa Cruz County,6087,19000
California,6,Imperial County,6025,19000
Illinois,17,Will County,17197,19000
North Carolina,37,Durham County,37063,19000
Virginia,51,Loudoun County,51107,19000
Nebraska,31,Douglas County,31055,18000
North Carolina,37,Guilford County,37081,18000
Oregon,41,Marion County,41047,18000
Washington,53,Pierce County,53053,18000
California,6,Madera County,6039,17000
Florida,12,Polk County,12105,17000
Georgia,13,Clayton County,13063,17000
Washington,53,Benton County,53005,17000
Washington,53,Franklin County,53021,17000
Washington,53,Walla Walla County,53071,17000
Maryland,24,Baltimore City,24510,16000
Michigan,26,Kent County,26081,16000
Nevada,32,Washoe County,32031,16000
New Jersey,34,Somerset County,34035,16000
New Jersey,34,Ocean County,34029,16000
Virginia,51,Arlington County,51013,16000
Florida,12,Pinellas County,12103,15000
New York,36,Richmond County,36085,15000
New York,36,Rockland County,36087,15000
North Carolina,37,Forsyth County,37067,15000
South Carolina,45,Greenville County,45045,15000
South Carolina,45,Laurens County,45059,15000
Texas,48,Williamson County,48491,15000
Virginia,51,Alexandria City,51510,15000
California,6,Marin County,6041,14000
California,6,Kings County,6031,14000
Delaware,10,New Castle County,10003,14000
Florida,12,Duval County,12031,14000
Missouri,29,Jackson County,29095,14000
New Jersey,34,Camden County,34007,14000
New Jersey,34,Atlantic County,34001,14000
Pennsylvania,42,Chester County,42029,14000
Utah,49,Utah County,49049,14000
Arizona,4,Yuma County,4027,13000
Arkansas,5,Washington County,5143,13000
Arkansas,5,Benton County,5007,13000
California,6,Yolo County,6113,13000
Florida,12,Manatee County,12081,13000
Idaho,16,Ada County,16001,13000
Idaho,16,Canyon County,16027,13000
Idaho,16,Gem County,16045,13000
Idaho,16,Owyhee County,16073,13000
Idaho,16,Payette County,16075,13000
Idaho,16,Washington County,16087,13000
Kansas,20,Sedgwick County,20173,13000
Kansas,20,Butler County,20015,13000
Kansas,20,Harvey County,20079,13000
Maryland,24,Anne Arundel County,24003,13000
Ohio,39,Cuyahoga County,39035,13000
Pennsylvania,42,Montgomery County,42091,13000
South Carolina,45,Charleston County,45019,13000
South Carolina,45,Berkeley County,45015,13000
South Carolina,45,Dorchester County,45035,13000
Alabama,1,Jefferson County,1073,12000
California,6,Napa County,6055,12000
Colorado,8,El Paso County,8041,12000
Colorado,8,Teller County,8119,12000
Kansas,20,Johnson County,20091,12000
Massachusetts,25,"Worcester Area, Worcester County NECTA*",25027,12000
New Jersey,34,Salem County,34033,12000
New Jersey,34,Cumberland County,34011,12000
Alabama,1,Madison County,1089,11000
Alabama,1,Marshall County,1095,11000
Alabama,1,Limestone County,1083,11000
Florida,12,Osceola County,12097,11000
Georgia,13,Whitfield County,13313,11000
Kansas,20,Wyandotte County,20209,11000
Kentucky,21,Fayette County,21067,11000
New Mexico,35,Dona Ana County,35013,11000
Ohio,39,Hamilton County,39061,11000
Texas,48,Brazoria County,48039,11000
Texas,48,Jefferson County,48245,11000
California,6,San Luis Obispo County,6079,10000
Kentucky,21,Jefferson County,21111,10000
Maryland,24,Howard County,24027,10000
Michigan,26,Macomb County,26099,10000
Missouri,29,St. Louis County,29189,10000
New York,36,Orange County,36071,10000
Texas,48,Brazos County,48041,10000
Texas,48,Galveston County,48167,10000
Washington,53,Grant County,53025,10000
Washington,53,Kittitas County,53037,10000
California,6,Sutter County,6101,9000
California,6,Yuba County,6115,9000
California,6,Placer County,6061,9000
Michigan,26,Washtenaw County,26161,9000
North Carolina,37,Union County,37179,9000
North Carolina,37,Anson County,37007,9000
Pennsylvania,42,Allegheny County,42003,9000
Texas,48,McLennan County,48309,9000
Texas,48,Nueces County,48355,9000
Washington,53,Clark County,53011,9000
Florida,12,Seminole County,12117,8000
Florida,12,Sarasota County,12115,8000
Georgia,13,Forsyth County,13117,8000
New Jersey,34,Burlington County,34005,8000
Texas,48,Austin County,48015,8000
Texas,48,Matagorda County,48321,8000
Texas,48,Waller County,48473,8000
Texas,48,Wharton County,48481,8000
Texas,48,Colorado County,48089,8000
Virginia,51,Virginia Beach City,51810,8000
Massachusetts,25,"New Bedford Area, Bristol County NECTA*",25005,7000
New York,36,Erie County,36029,7000
New York,36,Monroe County,36055,7000
Texas,48,Smith County,48423,7000
Texas,48,Potter County,48375,7000
Virginia,51,Chesterfield County,51041,7000
